channel,mean_abs,rms,mean_p2p,mean_abs_rel,rms_rel,mean_p2p_rel
PO5,0.7819498223193085,1.0,7.2589495352925155,0.9991480904921808,1.0,1.0081946839797495
F4,0.7816388022316058,1.0,7.3136038914213595,0.9987506799194522,1.0,1.0157856213512704
PO7,0.7814801114530285,1.0,7.283602286678314,0.9985479104016795,1.0,1.0116187018451162
TP9,0.7814709311316409,1.0,7.332301338641147,0.998536180108606,1.0,1.0183825076912747
PO6,0.7808508792660304,1.0,7.300599694975716,0.9977438995557524,1.0,1.0139794699705256
PO8,0.7802645277590182,1.0,7.296191463563026,0.9969946801405594,1.0,1.0133672112057526
F3,0.7798983432370807,1.0,7.442157498308296,0.9965267823862297,1.0,1.0336404173434026
F6,0.7796904974795416,1.0,7.544066539977455,0.9962612043582865,1.0,1.0477945526712187
F8,0.7790180783714004,1.0,7.655844988844647,0.995402010777403,1.0,1.0633194488539919
F5,0.7780579269736714,1.0,7.61296826813012,0.9941751629564278,1.0,1.0573643059396212
F7,0.7748433280840299,1.0,7.849852508484556,0.9900676611057886,1.0,1.0902651314217067
AF4,0.773120257123194,1.0,7.839145068908959,0.9878659813928944,1.0,1.088777976344148
AF3,0.771673852785408,1.0,7.927968977872891,0.9860178165990308,1.0,1.1011147190632347
FP2,0.7511416518852789,1.0,8.961214713894007,0.9597824895519346,1.0,1.2446221030499254
FP1,0.7499299071047455,1.0,8.988430217868295,0.9582341645199743,1.0,1.2484020613338758
FPZ,0.7471288501213762,1.0,9.11941286509171,0.954655072030392,1.0,1.2665942264649592
