2026-01-06 19:24:55 | INFO | root | Attacking pgd on seediv with eegnet
2026-01-06 19:26:18 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 19/118
2026-01-06 19:26:21 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 20/118
2026-01-06 19:26:25 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 21/118
2026-01-06 19:26:29 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 22/118
2026-01-06 19:26:32 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 23/118
2026-01-06 19:26:35 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 24/118
2026-01-06 19:26:39 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 25/118
2026-01-06 19:26:42 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 26/118
2026-01-06 19:26:46 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 27/118
2026-01-06 19:26:49 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 28/118
2026-01-06 19:26:53 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 29/118
2026-01-06 19:26:56 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 30/118
2026-01-06 19:27:00 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 31/118
2026-01-06 19:27:04 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 32/118
2026-01-06 19:27:07 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 33/118
2026-01-06 19:27:11 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 34/118
2026-01-06 19:27:14 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 35/118
2026-01-06 19:27:18 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 36/118
2026-01-06 19:27:22 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 37/118
2026-01-06 19:27:26 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 38/118
2026-01-06 19:27:29 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 39/118
2026-01-06 19:27:33 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 40/118
2026-01-06 19:27:37 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 41/118
2026-01-06 19:27:40 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 42/118
2026-01-06 19:27:44 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 43/118
2026-01-06 19:27:47 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 44/118
2026-01-06 19:27:51 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 45/118
2026-01-06 19:27:55 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 46/118
2026-01-06 19:27:58 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 47/118
2026-01-06 19:28:01 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 48/118
2026-01-06 19:28:05 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 49/118
2026-01-06 19:28:08 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 50/118
2026-01-06 19:28:12 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 51/118
2026-01-06 19:28:16 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 52/118
2026-01-06 19:28:19 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 53/118
2026-01-06 19:28:23 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 54/118
2026-01-06 19:28:26 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 55/118
2026-01-06 19:28:30 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 56/118
2026-01-06 19:28:33 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 57/118
2026-01-06 19:28:37 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 58/118
2026-01-06 19:28:40 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 59/118
2026-01-06 19:28:44 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 60/118
2026-01-06 19:28:47 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 61/118
2026-01-06 19:28:52 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 62/118
2026-01-06 19:28:55 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 63/118
2026-01-06 19:28:59 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 64/118
2026-01-06 19:29:03 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 65/118
2026-01-06 19:29:06 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 66/118
2026-01-06 19:29:09 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 67/118
2026-01-06 19:29:13 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 68/118
2026-01-06 19:29:17 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 69/118
2026-01-06 19:29:20 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 70/118
2026-01-06 19:29:23 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 71/118
2026-01-06 19:29:27 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 72/118
2026-01-06 19:29:30 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 73/118
2026-01-06 19:29:34 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 74/118
2026-01-06 19:29:37 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 75/118
2026-01-06 19:29:41 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 76/118
2026-01-06 19:29:44 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 77/118
2026-01-06 19:29:48 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 78/118
2026-01-06 19:29:52 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 79/118
2026-01-06 19:29:55 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 80/118
2026-01-06 19:29:59 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 81/118
2026-01-06 19:30:02 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 82/118
2026-01-06 19:30:06 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 83/118
2026-01-06 19:30:10 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 84/118
2026-01-06 19:30:13 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 85/118
2026-01-06 19:30:17 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 86/118
2026-01-06 19:30:20 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 87/118
2026-01-06 19:30:24 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 88/118
2026-01-06 19:30:27 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 89/118
2026-01-06 19:30:31 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 90/118
2026-01-06 19:30:34 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 91/118
2026-01-06 19:30:38 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 92/118
2026-01-06 19:30:41 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 93/118
2026-01-06 19:30:45 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 94/118
2026-01-06 19:30:48 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 95/118
2026-01-06 19:30:52 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 96/118
2026-01-06 19:30:55 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 97/118
2026-01-06 19:30:59 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 98/118
2026-01-06 19:31:02 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 99/118
2026-01-06 19:31:06 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 100/118
2026-01-06 19:31:09 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 101/118
2026-01-06 19:31:13 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 102/118
2026-01-06 19:31:16 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 103/118
2026-01-06 19:31:20 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 104/118
2026-01-06 19:31:23 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 105/118
2026-01-06 19:31:27 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 106/118
2026-01-06 19:31:30 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 107/118
2026-01-06 19:31:34 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 108/118
2026-01-06 19:31:37 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 109/118
2026-01-06 19:31:41 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 110/118
2026-01-06 19:31:44 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 111/118
2026-01-06 19:31:48 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 112/118
2026-01-06 19:31:53 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 113/118
2026-01-06 19:31:56 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 114/118
2026-01-06 19:32:00 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 115/118
2026-01-06 19:32:03 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 116/118
2026-01-06 19:32:07 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 117/118
2026-01-06 19:32:08 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 118/118
2026-01-06 19:32:30 | INFO | root | Before Attack - Test Accuracy: 59.74%, Test Loss: 0.9588
2026-01-06 19:32:37 | INFO | root | After Attack - Test Accuracy: 0.00%, Test Loss: 22.4127
2026-01-06 19:32:37 | INFO | root | MSE between clean data and adversarial data: 0.009931
