2026-01-06 19:09:54 | INFO | root | Attacking autoattack on seediv with eegnet
2026-01-06 19:32:44 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 60/118
2026-01-06 19:32:55 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 61/118
2026-01-06 19:33:06 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 62/118
2026-01-06 19:34:10 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 63/118
2026-01-06 19:35:49 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 64/118
2026-01-06 19:37:59 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 65/118
2026-01-06 19:40:09 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 66/118
2026-01-06 19:40:55 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 67/118
2026-01-06 19:42:33 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 68/118
2026-01-06 19:44:08 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 69/118
2026-01-06 19:45:42 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 70/118
2026-01-06 19:47:14 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 71/118
2026-01-06 19:48:24 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 72/118
2026-01-06 19:48:54 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 73/118
2026-01-06 19:49:05 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 74/118
2026-01-06 19:49:16 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 75/118
2026-01-06 19:49:27 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 76/118
2026-01-06 19:49:38 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 77/118
2026-01-06 19:49:48 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 78/118
2026-01-06 19:49:58 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 79/118
2026-01-06 19:50:23 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 80/118
2026-01-06 19:51:47 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 81/118
2026-01-06 19:53:46 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 82/118
2026-01-06 19:55:56 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 83/118
2026-01-06 19:57:48 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 84/118
2026-01-06 19:59:28 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 85/118
2026-01-06 20:02:10 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 86/118
2026-01-06 20:04:30 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 87/118
2026-01-06 20:05:08 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 88/118
2026-01-06 20:07:44 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 89/118
2026-01-06 20:10:02 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 90/118
2026-01-06 20:10:42 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 91/118
2026-01-06 20:12:11 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 92/118
2026-01-06 20:14:49 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 93/118
2026-01-06 20:15:37 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 94/118
2026-01-06 20:16:35 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 95/118
2026-01-06 20:18:47 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 96/118
2026-01-06 20:19:50 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 97/118
2026-01-06 20:20:28 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 98/118
2026-01-06 20:21:07 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 99/118
2026-01-06 20:21:46 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 100/118
2026-01-06 20:22:24 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 101/118
2026-01-06 20:23:04 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 102/118
2026-01-06 20:23:41 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 103/118
2026-01-06 20:24:18 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 104/118
2026-01-06 20:24:59 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 105/118
2026-01-06 20:25:36 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 106/118
2026-01-06 20:26:14 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 107/118
2026-01-06 20:26:55 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 108/118
2026-01-06 20:27:35 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 109/118
2026-01-06 20:28:13 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 110/118
2026-01-06 20:28:52 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 111/118
2026-01-06 20:29:35 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 112/118
2026-01-06 20:30:18 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 113/118
2026-01-06 20:30:58 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 114/118
2026-01-06 20:31:41 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 115/118
2026-01-06 20:32:28 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 116/118
2026-01-06 20:33:14 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 117/118
2026-01-06 20:33:54 | INFO | root | Attacking autoattack on seediv with eegnet, fold: 0, batch: 118/118
2026-01-06 20:33:57 | INFO | root | Before Attack - Test Accuracy: 26.18%, Test Loss: 1.3829
2026-01-06 20:33:58 | INFO | root | After Attack - Test Accuracy: 26.18%, Test Loss: 1.3829
2026-01-06 20:33:58 | INFO | root | MSE between clean data and adversarial data: 0.000000
2026-01-06 20:33:59 | INFO | root | Test model on 512 samples for adversarial training
2026-01-06 20:34:02 | INFO | root | After Attack - Test Accuracy on 512 samples: 25.59%, Test Loss: 1.3788
2026-01-06 20:34:02 | INFO | root | Before Attack - Test Accuracy on 512 samples: 25.59%, Test Loss: 1.3788
