2026-01-06 20:10:55 | INFO | root | Attacking cw on seediv with eegnet
2026-01-06 20:13:01 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 59/118
2026-01-06 20:13:03 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 60/118
2026-01-06 20:13:05 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 61/118
2026-01-06 20:13:07 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 62/118
2026-01-06 20:13:08 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 63/118
2026-01-06 20:13:11 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 64/118
2026-01-06 20:13:13 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 65/118
2026-01-06 20:13:15 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 66/118
2026-01-06 20:13:16 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 67/118
2026-01-06 20:13:18 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 68/118
2026-01-06 20:13:20 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 69/118
2026-01-06 20:13:22 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 70/118
2026-01-06 20:13:24 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 71/118
2026-01-06 20:13:26 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 72/118
2026-01-06 20:13:28 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 73/118
2026-01-06 20:13:29 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 74/118
2026-01-06 20:13:31 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 75/118
2026-01-06 20:13:33 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 76/118
2026-01-06 20:13:35 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 77/118
2026-01-06 20:13:37 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 78/118
2026-01-06 20:13:38 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 79/118
2026-01-06 20:13:41 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 80/118
2026-01-06 20:13:43 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 81/118
2026-01-06 20:13:45 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 82/118
2026-01-06 20:13:46 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 83/118
2026-01-06 20:13:48 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 84/118
2026-01-06 20:13:50 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 85/118
2026-01-06 20:13:52 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 86/118
2026-01-06 20:13:53 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 87/118
2026-01-06 20:13:55 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 88/118
2026-01-06 20:13:57 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 89/118
2026-01-06 20:13:59 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 90/118
2026-01-06 20:14:02 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 91/118
2026-01-06 20:14:04 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 92/118
2026-01-06 20:14:05 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 93/118
2026-01-06 20:14:07 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 94/118
2026-01-06 20:14:09 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 95/118
2026-01-06 20:14:11 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 96/118
2026-01-06 20:14:13 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 97/118
2026-01-06 20:14:15 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 98/118
2026-01-06 20:14:17 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 99/118
2026-01-06 20:14:19 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 100/118
2026-01-06 20:14:21 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 101/118
2026-01-06 20:14:22 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 102/118
2026-01-06 20:14:25 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 103/118
2026-01-06 20:14:27 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 104/118
2026-01-06 20:14:28 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 105/118
2026-01-06 20:14:30 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 106/118
2026-01-06 20:14:32 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 107/118
2026-01-06 20:14:34 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 108/118
2026-01-06 20:14:36 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 109/118
2026-01-06 20:14:38 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 110/118
2026-01-06 20:14:40 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 111/118
2026-01-06 20:14:42 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 112/118
2026-01-06 20:14:43 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 113/118
2026-01-06 20:14:45 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 114/118
2026-01-06 20:14:47 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 115/118
2026-01-06 20:14:49 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 116/118
2026-01-06 20:14:52 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 117/118
2026-01-06 20:14:53 | INFO | root | Attacking cw on seediv with eegnet, fold: 0, batch: 118/118
2026-01-06 20:15:00 | INFO | root | Before Attack - Test Accuracy: 54.90%, Test Loss: 1.0454
2026-01-06 20:15:02 | INFO | root | After Attack - Test Accuracy: 0.00%, Test Loss: 4.2378
2026-01-06 20:15:03 | INFO | root | MSE between clean data and adversarial data: 0.006651
2026-01-06 20:15:03 | INFO | root | Test model on 512 samples for adversarial training
2026-01-06 20:15:10 | INFO | root | After Attack - Test Accuracy on 512 samples: 0.00%, Test Loss: 4.2445
2026-01-06 20:15:10 | INFO | root | Before Attack - Test Accuracy on 512 samples: 53.91%, Test Loss: 1.0377
