2025-10-21 12:13:45 | INFO | root | Attacking pgd on m3cv with eegnet
2025-10-21 12:14:06 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 14/181
2025-10-21 12:14:07 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 15/181
2025-10-21 12:14:08 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 16/181
2025-10-21 12:14:09 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 17/181
2025-10-21 12:14:11 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 18/181
2025-10-21 12:14:12 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 19/181
2025-10-21 12:14:13 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 20/181
2025-10-21 12:14:14 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 21/181
2025-10-21 12:14:15 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 22/181
2025-10-21 12:14:16 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 23/181
2025-10-21 12:14:17 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 24/181
2025-10-21 12:14:18 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 25/181
2025-10-21 12:14:19 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 26/181
2025-10-21 12:14:20 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 27/181
2025-10-21 12:14:21 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 28/181
2025-10-21 12:14:22 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 29/181
2025-10-21 12:14:23 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 30/181
2025-10-21 12:14:24 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 31/181
2025-10-21 12:14:25 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 32/181
2025-10-21 12:14:26 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 33/181
2025-10-21 12:14:27 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 34/181
2025-10-21 12:14:28 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 35/181
2025-10-21 12:14:29 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 36/181
2025-10-21 12:14:30 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 37/181
2025-10-21 12:14:31 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 38/181
2025-10-21 12:14:32 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 39/181
2025-10-21 12:14:33 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 40/181
2025-10-21 12:14:34 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 41/181
2025-10-21 12:14:35 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 42/181
2025-10-21 12:14:36 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 43/181
2025-10-21 12:14:38 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 44/181
2025-10-21 12:14:39 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 45/181
2025-10-21 12:14:40 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 46/181
2025-10-21 12:14:41 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 47/181
2025-10-21 12:14:42 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 48/181
2025-10-21 12:14:43 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 49/181
2025-10-21 12:14:44 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 50/181
2025-10-21 12:14:45 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 51/181
2025-10-21 12:14:46 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 52/181
2025-10-21 12:14:47 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 53/181
2025-10-21 12:14:48 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 54/181
2025-10-21 12:14:49 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 55/181
2025-10-21 12:14:50 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 56/181
2025-10-21 12:14:51 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 57/181
2025-10-21 12:14:52 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 58/181
2025-10-21 12:14:53 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 59/181
2025-10-21 12:14:54 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 60/181
2025-10-21 12:14:55 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 61/181
2025-10-21 12:14:56 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 62/181
2025-10-21 12:14:57 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 63/181
2025-10-21 12:14:58 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 64/181
2025-10-21 12:14:59 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 65/181
2025-10-21 12:15:00 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 66/181
2025-10-21 12:15:01 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 67/181
2025-10-21 12:15:02 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 68/181
2025-10-21 12:15:03 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 69/181
2025-10-21 12:15:05 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 70/181
2025-10-21 12:15:06 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 71/181
2025-10-21 12:15:07 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 72/181
2025-10-21 12:15:08 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 73/181
2025-10-21 12:15:09 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 74/181
2025-10-21 12:15:10 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 75/181
2025-10-21 12:15:11 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 76/181
2025-10-21 12:15:12 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 77/181
2025-10-21 12:15:13 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 78/181
2025-10-21 12:15:14 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 79/181
2025-10-21 12:15:15 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 80/181
2025-10-21 12:15:16 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 81/181
2025-10-21 12:15:17 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 82/181
2025-10-21 12:15:18 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 83/181
2025-10-21 12:15:19 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 84/181
2025-10-21 12:15:20 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 85/181
2025-10-21 12:15:21 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 86/181
2025-10-21 12:15:22 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 87/181
2025-10-21 12:15:23 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 88/181
2025-10-21 12:15:24 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 89/181
2025-10-21 12:15:25 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 90/181
2025-10-21 12:15:26 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 91/181
2025-10-21 12:15:27 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 92/181
2025-10-21 12:15:28 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 93/181
2025-10-21 12:15:29 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 94/181
2025-10-21 12:15:30 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 95/181
2025-10-21 12:15:32 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 96/181
2025-10-21 12:15:33 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 97/181
2025-10-21 12:15:34 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 98/181
2025-10-21 12:15:35 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 99/181
2025-10-21 12:15:36 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 100/181
2025-10-21 12:15:37 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 101/181
2025-10-21 12:15:38 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 102/181
2025-10-21 12:15:39 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 103/181
2025-10-21 12:15:40 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 104/181
2025-10-21 12:15:41 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 105/181
2025-10-21 12:15:42 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 106/181
2025-10-21 12:15:43 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 107/181
2025-10-21 12:15:44 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 108/181
2025-10-21 12:15:45 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 109/181
2025-10-21 12:15:46 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 110/181
2025-10-21 12:15:47 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 111/181
2025-10-21 12:15:48 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 112/181
2025-10-21 12:15:49 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 113/181
2025-10-21 12:15:50 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 114/181
2025-10-21 12:15:51 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 115/181
2025-10-21 12:15:52 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 116/181
2025-10-21 12:15:53 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 117/181
2025-10-21 12:15:54 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 118/181
2025-10-21 12:15:55 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 119/181
2025-10-21 12:15:56 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 120/181
2025-10-21 12:15:57 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 121/181
2025-10-21 12:15:59 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 122/181
2025-10-21 12:16:00 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 123/181
2025-10-21 12:16:01 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 124/181
2025-10-21 12:16:02 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 125/181
2025-10-21 12:16:03 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 126/181
2025-10-21 12:16:04 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 127/181
2025-10-21 12:16:05 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 128/181
2025-10-21 12:16:06 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 129/181
2025-10-21 12:16:07 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 130/181
2025-10-21 12:16:08 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 131/181
2025-10-21 12:16:09 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 132/181
2025-10-21 12:16:10 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 133/181
2025-10-21 12:16:11 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 134/181
2025-10-21 12:16:12 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 135/181
2025-10-21 12:16:13 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 136/181
2025-10-21 12:16:14 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 137/181
2025-10-21 12:16:15 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 138/181
2025-10-21 12:16:16 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 139/181
2025-10-21 12:16:17 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 140/181
2025-10-21 12:16:18 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 141/181
2025-10-21 12:16:19 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 142/181
2025-10-21 12:16:20 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 143/181
2025-10-21 12:16:21 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 144/181
2025-10-21 12:16:22 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 145/181
2025-10-21 12:16:23 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 146/181
2025-10-21 12:16:25 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 147/181
2025-10-21 12:16:26 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 148/181
2025-10-21 12:16:27 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 149/181
2025-10-21 12:16:28 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 150/181
2025-10-21 12:16:29 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 151/181
2025-10-21 12:16:30 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 152/181
2025-10-21 12:16:31 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 153/181
2025-10-21 12:16:32 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 154/181
2025-10-21 12:16:33 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 155/181
2025-10-21 12:16:34 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 156/181
2025-10-21 12:16:35 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 157/181
2025-10-21 12:16:36 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 158/181
2025-10-21 12:16:37 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 159/181
2025-10-21 12:16:38 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 160/181
2025-10-21 12:16:39 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 161/181
2025-10-21 12:16:40 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 162/181
2025-10-21 12:16:41 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 163/181
2025-10-21 12:16:42 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 164/181
2025-10-21 12:16:43 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 165/181
2025-10-21 12:16:44 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 166/181
2025-10-21 12:16:45 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 167/181
2025-10-21 12:16:46 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 168/181
2025-10-21 12:16:47 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 169/181
2025-10-21 12:16:48 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 170/181
2025-10-21 12:16:49 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 171/181
2025-10-21 12:16:50 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 172/181
2025-10-21 12:16:52 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 173/181
2025-10-21 12:16:53 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 174/181
2025-10-21 12:16:54 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 175/181
2025-10-21 12:16:55 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 176/181
2025-10-21 12:16:56 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 177/181
2025-10-21 12:16:57 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 178/181
2025-10-21 12:16:58 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 179/181
2025-10-21 12:16:59 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 180/181
2025-10-21 12:17:00 | INFO | root | Attacking pgd on m3cv with eegnet, fold: 0, batch: 181/181
2025-10-21 12:17:01 | INFO | root | Before Attack - Test Accuracy: 97.96%, Test Loss: 0.0242
2025-10-21 12:17:02 | INFO | root | After Attack - Test Accuracy: 28.28%, Test Loss: 2.7785
2025-10-21 12:17:02 | INFO | root | MSE between clean data and adversarial data: 0.000983
